1581969660.162025,0.018779,-0.086539,0.016363,0.020534,2.850519,-31.551625,0.006152,0.000501,-0.000597,-0.001477,-0.004066,0.015869
1581969660.337151,0.018523,-0.086402,0.016649,0.018223,2.853854,-31.549149,-0.006473,0.000164,0.005944,0.002695,0.021752,-0.003472
1581969660.392191,0.018587,-0.086407,0.016419,0.022511,2.852047,-31.545671,-0.001378,0.001503,0.000191,0.000586,0.021643,-0.008862
1581969660.452234,0.018727,-0.086499,0.016489,0.020816,2.853319,-31.545311,-0.000703,0.000542,0.001852,0.003859,0.007568,0.012611
1581969660.492370,0.018621,-0.086461,0.016471,0.022194,2.854328,-31.545316,-0.003484,0.000304,0.001281,0.000545,0.017134,0.011407
1581969660.572427,0.018586,-0.086423,0.016447,0.024031,2.837511,-31.544296,-0.003560,0.000599,0.000637,-0.000458,0.025195,0.003747
1581969660.582435,0.018576,-0.086408,0.016462,0.027482,2.833494,-31.541080,-0.003479,0.000925,0.001293,0.000730,0.004463,-0.008837
1581969660.607453,0.018632,-0.086456,0.016416,0.024352,2.849685,-31.543479,-0.001002,0.000584,0.000188,-0.001457,-0.022740,-0.008602
1581969660.622463,0.018609,-0.086430,0.016425,0.024830,2.845214,-31.541963,-0.002215,0.000793,0.000491,-0.000399,-0.002000,-0.008686
1581969660.647482,0.018759,-0.086533,0.016403,0.027954,2.846014,-31.536625,0.005959,0.000700,-0.000528,-0.001413,-0.023968,-0.002234
1581969660.657489,0.018770,-0.086536,0.016409,0.027131,2.852481,-31.537665,0.002314,0.000438,0.000454,0.000689,-0.013636,0.010450
1581969660.677503,0.018556,-0.086420,0.016434,0.026692,2.854720,-31.542954,-0.006708,0.000416,0.000562,-0.001447,0.012968,-0.010011
1581969660.692514,0.018502,-0.086378,0.016434,0.025745,2.857355,-31.543037,-0.005694,0.000636,0.000249,-0.001511,0.030294,-0.001432
1581969660.707525,0.018646,-0.086446,0.016523,0.027084,2.857033,-31.533249,-0.000128,0.000957,0.002851,-0.000511,0.025298,0.007029
1581969660.727539,0.018577,-0.086377,0.016601,0.028216,2.856382,-31.529105,-0.006098,0.001225,0.004112,0.002788,-0.028037,-0.000084
1581969660.732543,0.018558,-0.086360,0.016618,0.028604,2.853867,-31.530249,-0.005890,0.001051,0.003572,-0.001456,0.027010,0.000749
1581969660.762564,0.018744,-0.086535,0.016464,0.025394,2.854152,-31.534337,0.001256,-0.000118,0.001541,0.000601,0.018097,0.007165
